"","INSTNM","CITY","STABBR","ZIP","ACCREDAGENCY","INSTURL","NPCURL","SCH_DEG","HCM2","UG","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","UGDS_WHITENH","UGDS_BLACKNH","UGDS_API","UGDS_AIANOLD","UGDS_HISPOLD","UG_NRA","UG_UNKN","UG_WHITENH","UG_BLACKNH","UG_API","UG_AIANOLD","UG_HISPOLD","PPTUG_EF","PPTUG_EF2","CURROPER","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","NUM4_PUB","NUM4_PRIV","NUM4_PROG","NUM4_OTHER","NUM41_PUB","NUM42_PUB","NUM43_PUB","NUM44_PUB","NUM45_PUB","NUM41_PRIV","NUM42_PRIV","NUM43_PRIV","NUM44_PRIV","NUM45_PRIV","NUM41_PROG","NUM42_PROG","NUM43_PROG","NUM44_PROG","NUM45_PROG","NUM41_OTHER","NUM42_OTHER","NUM43_OTHER","NUM44_OTHER","NUM45_OTHER","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","TUITFTE","INEXPFTE"
"11","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","North Central Association of Colleges and Schools The Higher Learning Commission","www.uapb.edu","www.uapb.edu/admissions/net_price_calculator.aspx","NULL",0,"NULL","0.0439","0.9248","0.0131","0.0036","0.002","0","0.0008","0.0103","0.0016","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0851","NULL",1,"7959","NULL","NULL","NULL","7380","8035","8806","12459","11061","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7567","NULL","NULL","NULL","8210","NULL","12022","NULL","NULL","NULL","NULL","NULL","236","NULL","NULL","NULL","145","58","17","11","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15994","NULL","6538","12268","NULL","1670","7727"
"12","Arkansas State University-Beebe","Beebe","AR","72012-1000","North Central Association of Colleges and Schools The Higher Learning Commission","www.asub.edu","www.asub.edu/assets/npcalc/npcalc.htm","NULL",0,"NULL","0.8204","0.0616","0.0571","0.0069","0.0045","0.0021","0.044","0.0024","0.001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2966","NULL",1,"6972","NULL","NULL","NULL","5878","6624","8848","10725","11335","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6067","NULL","NULL","NULL","7622","NULL","10857","NULL","NULL","NULL","NULL","NULL","371","NULL","NULL","NULL","207","70","57","29","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12460","NULL","3480","5370","NULL","1910","4431"
"13","Arkansas State University-Main Campus","Jonesboro","AR","72401","North Central Association of Colleges and Schools The Higher Learning Commission","www.astate.edu/edu","www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot","NULL",0,"NULL","0.7431","0.1375","0.0249","0.0073","0.0037","0.0007","0.0199","0.0559","0.0071","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1894","NULL",1,"12152","NULL","NULL","NULL","10521","10895","12833","14686","14533","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10649","NULL","NULL","NULL","11879","NULL","14613","NULL","NULL","NULL","NULL","NULL","1050","NULL","NULL","NULL","371","192","198","151","138","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20349","NULL","8050","14050","NULL","3793","5258"
"14","Arkansas Tech University","Russellville","AR","72801-2222","North Central Association of Colleges and Schools The Higher Learning Commission","www.atu.edu","www.atu.edu/finaid/npcalc.htm","NULL",0,"NULL","0.7571","0.0981","0.0581","0.0117","0.0084","0.0006","0.0272","0.0389","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1998","NULL",1,"10303","NULL","NULL","NULL","9061","9631","11617","12670","12927","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9237","NULL","NULL","NULL","10575","NULL","12760","NULL","NULL","NULL","NULL","NULL","1356","NULL","NULL","NULL","600","267","242","160","87","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17260","NULL","6192","11352","NULL","3777","4830"
"15","University of Arkansas at Monticello","Monticello","AR","71656","North Central Association of Colleges and Schools The Higher Learning Commission","www.uamont.edu/","uam-web2.uamont.edu/netprice/npcalc.htm","NULL",0,"NULL","0.6269","0.2907","0.0384","0.0059","0.0016","0.0012","0.0302","0.0051","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1828","NULL",1,"10730","NULL","NULL","NULL","10202","9818","12350","13598","13127","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10137","NULL","NULL","NULL","10995","NULL","13488","NULL","NULL","NULL","NULL","NULL","463","NULL","NULL","NULL","302","61","53","36","11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16691","NULL","6446","12296","NULL","3263","7231"
"16","Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076","National Accrediting Commission of Career Arts and Sciences","arthursbeautycollege.com","www.arthursbeautycollege.com/jacksonville.html","NULL",0,"NULL","0.7593","0.1296","0.0556","0","0","0","0.037","0","0.0185","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","11710","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11710","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11710","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14727","NULL","NULL","13045","8195","4131"
"17","Baptist Health College-Little Rock","Little Rock","AR","72210-2820","Accrediting Bureau of Health Education Schools","https://www.bhclr.edu","https://www.bhclr.edu/student-services/accounts/netprice/npcalc.htm","NULL",0,"NULL","0.7285","0.1976","0.0226","0.0136","0.0075","0.0015","0.0271","0","0.0015","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1388","NULL",1,"NULL","21345","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19180","21504","21691","23900","24556","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19955","NULL","NULL","NULL","21566","NULL","24009","NULL","NULL","NULL","NULL","NULL","20","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8","4","2","5","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24556","NULL","8802","8802","NULL","4791","5420"
"18","Black River Technical College","Pocahontas","AR","72455","North Central Association of Colleges and Schools The Higher Learning Commission","www.blackrivertech.edu","www.blackrivertech.org/financial-aid/net-price-calculator","NULL",0,"NULL","0.9519","0.0287","0.0093","0.0031","0.0039","0","0.0031","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2925","NULL",1,"6471","NULL","NULL","NULL","5495","5737","9634","10313","10005","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5544","NULL","NULL","NULL","7603","NULL","10294","NULL","NULL","NULL","NULL","NULL","232","NULL","NULL","NULL","145","37","34","15","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12005","NULL","2832","5304","NULL","1746","5526"
"19","University of Central Arkansas","Conway","AR","72035-0001","North Central Association of Colleges and Schools The Higher Learning Commission","www.uca.edu","uca.edu/financialaid/financial-aid-net-price-calculator/","NULL",0,"NULL","0.6574","0.1843","0.0474","0.0173","0.0051","0.0011","0.0353","0.0435","0.0086","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1183","NULL",1,"13063","NULL","NULL","NULL","11248","11913","14392","15584","15759","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11526","NULL","NULL","NULL","12930","NULL","15668","NULL","NULL","NULL","NULL","NULL","1433","NULL","NULL","NULL","481","346","241","190","175","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19686","NULL","7889","13806","NULL","5021","7042"
"20","Central Baptist College","Conway","AR","72034","North Central Association of Colleges and Schools The Higher Learning Commission","www.cbc.edu","www.cbc.edu/financial_aid/net_price_calculator.aspx","NULL",0,"NULL","0.6667","0.2368","0.0296","0.0013","0.0167","0.0013","0.0077","0.0399","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1892","NULL",1,"NULL","15829","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14040","14114","15749","17357","17074","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14061","NULL","NULL","NULL","15238","NULL","17244","NULL","NULL","NULL","NULL","NULL","102","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25","10","22","27","18","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23292","NULL","14400","14400","NULL","8991","4059"
"21","Cossatot Community College of the University of Arkansas","De Queen","AR","71832","North Central Association of Colleges and Schools The Higher Learning Commission","www.cccua.edu/","www.cccua.edu/pay-for-college/net-price-calculator","NULL",0,"NULL","0.6034","0.0934","0.2296","0.005","0.0199","0.001","0.0477","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.5288","NULL",1,"5092","NULL","NULL","NULL","4599","5299","6542","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4802","NULL","NULL","NULL","5805","NULL","NULL","NULL","NULL","NULL","NULL","NULL","132","NULL","NULL","NULL","78","32","22","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11415","NULL","2670","5820","NULL","1464","6109"
"22","Crowley's Ridge College","Paragould","AR","72450","North Central Association of Colleges and Schools The Higher Learning Commission","www.crc.edu/","www.crc.edu/","NULL",0,"NULL","0.9006","0.0829","0.011","0","0","0.0055","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0497","NULL",1,"NULL","12803","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11795","11736","13278","13251","16806","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11781","NULL","NULL","NULL","12700","NULL","14087","NULL","NULL","NULL","NULL","NULL","53","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20","6","10","13","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19935","NULL","11900","11900","NULL","8404","3262"
"23","Crowley's Ridge Technical Institute","Forrest City","AR","72335-0925","Council on Occupational Education","www.crti.tec.ar.us","www.crti.tec.ar.us","NULL",0,"NULL","0.3902","0.5951","0.0098","0","0","0","0.0049","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0683","NULL",1,"3206","NULL","NULL","NULL","3048","3588","6806","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3077","NULL","NULL","NULL","4875","NULL","NULL","NULL","NULL","NULL","NULL","NULL","58","NULL","NULL","NULL","53","3","2","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8881","NULL","1350","1350","NULL","465","10412"
"24","East Arkansas Community College","Forrest City","AR","72335-2204","North Central Association of Colleges and Schools The Higher Learning Commission","https://WWW.EACC.EDU","https://www.eacc.edu/pages?id=100","NULL",0,"NULL","0.5492","0.3897","0.0277","0.0166","0.0028","0","0.0125","0.0014","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3315","NULL",1,"2695","NULL","NULL","NULL","2733","-355","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2695","NULL","NULL","NULL","-355","NULL","NULL","NULL","NULL","NULL","NULL","NULL","159","NULL","NULL","NULL","157","2","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9284","NULL","2790","3600","NULL","1538","4727"
"25","Eastern College of Health Vocations-Little Rock","Little Rock","AR","72205","Accrediting Bureau of Health Education Schools","www.easterncollege.edu","www.easterncollege.edu","NULL",0,"NULL","0.302","0.6779","0.0201","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","12077","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12077","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12077","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","227","NULL","NULL","NULL","NULL","NULL","NULL","NULL","227","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14984","NULL","NULL","10700","6796","2298"
"26","Imagine-Paul Mitchell Partner School","North Little Rock","AR","72117","National Accrediting Commission of Career Arts and Sciences","paulmitchell.edu/littlerock","paulmitchell.edu/littlerock/programs/cosmetology","NULL",0,"NULL","0.6254","0.2286","0.0508","0.0063","0.0127","0","0.0095","0.0032","0.0635","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0667","NULL",1,"NULL","17523","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16467","17628","18798","20827","20827","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16677","NULL","NULL","NULL","18123","NULL","20827","NULL","NULL","NULL","NULL","NULL","111","NULL","NULL","NULL","NULL","NULL","NULL","NULL","68","15","11","9","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20827","NULL","NULL","15500","6150","4181"
"27","National Park College","Hot Springs","AR","71913","North Central Association of Colleges and Schools The Higher Learning Commission","www.np.edu","dev.np.edu/financialaid/npcalc/npcalc.htm","NULL",0,"NULL","0.7797","0.1179","0.0694","0.0136","0.0141","0","0","0","0.0053","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.361","NULL",1,"7852","NULL","NULL","NULL","7665","7069","8772","10108","11755","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7556","NULL","NULL","NULL","7597","NULL","10690","NULL","NULL","NULL","NULL","NULL","254","NULL","NULL","NULL","179","40","18","11","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13067","NULL","3200","4580","NULL","1591","6368"
"28","University of Arkansas Community College-Batesville","Batesville","AR","72503-3350","North Central Association of Colleges and Schools The Higher Learning Commission","www.uaccb.edu","www.uaccb.edu/sites/default/files/content/net-price-calculator/net-price-calculator.html","NULL",0,"NULL","0.8425","0.0351","0.0626","0.0038","0.0047","0.0009","0.0503","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2666","NULL",1,"1910","NULL","NULL","NULL","1298","2075","3523","4241","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1539","NULL","NULL","NULL","2586","NULL","4241","NULL","NULL","NULL","NULL","NULL","86","NULL","NULL","NULL","49","22","12","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7914","NULL","2262","3942","NULL","1344","6770"
"29","Harding University","Searcy","AR","72149-5615","North Central Association of Colleges and Schools The Higher Learning Commission","www.harding.edu","www.harding.edu/admissions/npc.html","NULL",0,"NULL","0.8301","0.0438","0.0353","0.0067","0.0076","0","0.018","0.0582","0.0002","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0773","NULL",1,"NULL","17276","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11825","13477","16574","18992","20689","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12678","NULL","NULL","NULL","15251","NULL","19930","NULL","NULL","NULL","NULL","NULL","678","NULL","NULL","NULL","NULL","NULL","NULL","NULL","91","97","130","161","199","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","27205","NULL","17805","17805","NULL","13101","9673"
"30","Henderson State University","Arkadelphia","AR","71999-0001","North Central Association of Colleges and Schools The Higher Learning Commission","www.hsu.edu","www.hsu.edu/net-price-calculator/","NULL",0,"NULL","0.6586","0.2384","0.0397","0.0084","0.0045","0","0.0368","0.0116","0.0019","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1127","NULL",1,"9937","NULL","NULL","NULL","9488","10188","11249","12837","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9660","NULL","NULL","NULL","10640","NULL","12837","NULL","NULL","NULL","NULL","NULL","453","NULL","NULL","NULL","286","93","69","5","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19037","NULL","8100","14700","NULL","3282","7040"
"31","Hendrix College","Conway","AR","72032-3080","North Central Association of Colleges and Schools The Higher Learning Commission","www.hendrix.edu","www.hendrix.edu/Admission/PriceCalculator/","NULL",0,"NULL","0.7782","0.0499","0.0491","0.046","0.0054","0.0008","0.0276","0.0345","0.0084","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0031","NULL",1,"NULL","25503","NULL","NULL","NULL","NULL","NULL","NULL","NULL","21841","22694","25252","25066","28033","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22149","NULL","NULL","NULL","24399","NULL","26866","NULL","NULL","NULL","NULL","NULL","203","NULL","NULL","NULL","NULL","NULL","NULL","NULL","30","17","34","48","74","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","54087","NULL","40870","40870","NULL","12241","12401"
"32","Hot Springs Beauty College","Hot Springs","AR","71901","National Accrediting Commission of Career Arts and Sciences","hotspringsbeautycollege.com","hotspringsbeautycollege.com","NULL",0,"NULL","0.7895","0.1316","0.0789","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","8110","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7732","11132","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8110","NULL","NULL","NULL","11132","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13232","NULL","NULL","13100","7784","3893"
"33","Jefferson Regional Medical Center School of Nursing","Pine Bluff","AR","71603","Accrediting Bureau of Health Education Schools","www.jrmc.org","www.jrmc.org/schoolofnursing/Calculator/npcalc.htm","NULL",0,"NULL","0.8806","0.1194","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3588","4257"
"34","John Brown University","Siloam Springs","AR","72761","North Central Association of Colleges and Schools The Higher Learning Commission","www.jbu.edu","info.eaglenet.jbu.edu/npc","NULL",0,"NULL","0.7441","0.0243","0.0594","0.016","0.0214","0.0006","0.0303","0.057","0.0469","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.092","NULL",1,"NULL","19234","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15310","15745","19059","20785","23076","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15448","NULL","NULL","NULL","17863","NULL","22026","NULL","NULL","NULL","NULL","NULL","204","NULL","NULL","NULL","NULL","NULL","NULL","NULL","47","22","39","44","52","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35706","NULL","24468","24468","NULL","10708","7538"
"35","Lees School of Cosmetology","North  Little Rock","AR","72114-3800","NULL","www.leesschool.com","www.leesschool.com","NULL",0,"NULL","0.3182","0.6364","0","0","0","0","0","0","0.0455","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",0,"NULL","13167","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13167","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13167","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","27","NULL","NULL","NULL","NULL","NULL","NULL","NULL","27","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16546","NULL","NULL","13870","6342","6100"
"36","Career Academy of Hair Design","Springdale","AR","72764-7128","National Accrediting Commission of Career Arts and Sciences","www.beautynwa.com","www.beautynwa.com/npcalc/","NULL",0,"NULL","0.8226","0.0645","0.1129","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4758","NULL",1,"NULL","12332","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11886","13127","13426","14364","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12130","NULL","NULL","NULL","13226","NULL","14364","NULL","NULL","NULL","NULL","NULL","174","NULL","NULL","NULL","NULL","NULL","NULL","NULL","122","30","15","7","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15612","NULL","NULL","13695","10446","3580"
"37","Academy of Salon and Spa","Fort Smith","AR","72901","National Accrediting Commission of Career Arts and Sciences","www.academysalonspa.com","www.academysalonspa.com","NULL",0,"NULL","0.7042","0.0845","0","0","0.2113","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",1,"NULL","12117","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11872","11998","14048","NULL","16528","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11890","NULL","NULL","NULL","12408","NULL","16528","NULL","NULL","NULL","NULL","NULL","30","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24","4","1","0","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16528","NULL","NULL","15000","6161","5704"
"38","Arkansas State University Mid-South","West Memphis","AR","72301-3829","North Central Association of Colleges and Schools The Higher Learning Commission","www.asumidsouth.edu","www.asumidsouth.edu/NetPriceCalculator16/npcalc.htm","NULL",0,"NULL","0.3374","0.5654","0.0051","0.0174","0.0051","0.001","0.0634","0.0051","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4622","NULL",1,"9015","NULL","NULL","NULL","8963","9371","8851","10101","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9006","NULL","NULL","NULL","9241","NULL","10101","NULL","NULL","NULL","NULL","NULL","149","NULL","NULL","NULL","127","15","5","2","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12056","NULL","2554","4388","NULL","2608","7411"
"39","Arkansas Northeastern College","Blytheville","AR","72316-1109","North Central Association of Colleges and Schools The Higher Learning Commission","www.anc.edu","www.anc.edu","NULL",0,"NULL","0.6134","0.3284","0.0385","0.0059","0.001","0","0.0118","0.001","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4615","NULL",1,"4087","NULL","NULL","NULL","3800","4701","5799","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3893","NULL","NULL","NULL","5276","NULL","NULL","NULL","NULL","NULL","NULL","NULL","108","NULL","NULL","NULL","87","10","11","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9990","NULL","2150","3830","NULL","1128","9612"
"40","Margaret's Hair Academy Inc","Monticello","AR","71655","NULL","margarethairacademy.com","margarethairacademy.com","NULL",0,"NULL","0.7105","0.2632","0","0","0","0","0","0","0.0263","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",0,"NULL","12266","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12266","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12266","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16272","NULL","NULL","10545","6540","3977"
