"","id","id2","geography","households_estimate_total","less10_000","10k_to_14_999","15k_to_24_999","25k_to_34_999","35k_to_49_999","50k_to_74_999","75k_to_99_999","100k_to_149_999","150k_to_199_999","200k_plus","median_income","mean_income","pct_allocated_household_income","pct_allocated_family_income","pct_allocated_nonfamily_income","Low_Wage_Households","WorkingClass","MiddleClass","UpperIncome","LowWagePop","WorkingClassPop","MiddleClassPop","UpperIncomePop"
"48","0500000US05095",5095,"Monroe County, Arkansas",3328,15.4,10.1,15.5,11.4,16.6,14.3,8.3,6.3,0.2,2,31584,44440,47.3,"(X)","(X)",41,28,28.9,2.2,1364.48,931.84,961.792,73.216
"49","0500000US05097",5097,"Montgomery County, Arkansas",3855,7.1,8.5,17.2,16.8,13,17.8,8.2,8.9,1.1,1.2,35252,49080,39.5,"(X)","(X)",32.8,29.8,34.9,2.3,1264.44,1148.79,1345.395,88.665
"50","0500000US05099",5099,"Nevada County, Arkansas",3452,9.5,7,19,11.9,17,20.7,6.4,7.4,0.7,0.4,36995,44911,34.2,"(X)","(X)",35.5,28.9,34.5,1.1,1225.46,997.628,1190.94,37.972
"51","0500000US05101",5101,"Newton County, Arkansas",3152,10.2,10.1,14.8,12.2,18.5,16.9,11,5.5,0.2,0.7,38134,44443,36.8,"(X)","(X)",35.1,30.7,33.4,0.9,1106.352,967.664,1052.768,28.368
"52","0500000US05103",5103,"Ouachita County, Arkansas",10016,13.9,10.7,15.7,12.9,12.4,17.5,7.2,6,2.2,1.4,32136,45461,39.6,"(X)","(X)",40.3,25.3,30.7,3.6,4036.448,2534.048,3074.912,360.576
"53","0500000US05105",5105,"Perry County, Arkansas",3692,6.4,5,12.1,13.7,16.6,20.5,10.9,10.8,2.6,1.3,46168,57289,45.6,"(X)","(X)",23.5,30.3,42.2,3.9,867.62,1118.676,1558.024,143.988
"54","0500000US05107",5107,"Phillips County, Arkansas",7823,14.4,13.6,18.4,14.5,11.8,11.6,7.5,4.4,1.6,2.1,26652,42299,41.2,"(X)","(X)",46.4,26.3,23.5,3.7,3629.872,2057.449,1838.405,289.451
"55","0500000US05109",5109,"Pike County, Arkansas",4313,8.9,8.2,16.8,13.7,15.5,18.8,8,7.2,2.4,0.5,36893,48645,40.1,"(X)","(X)",33.9,29.2,34,2.9,1462.107,1259.396,1466.42,125.077
"56","0500000US05111",5111,"Poinsett County, Arkansas",9483,9.3,8.6,14.1,14.8,17.9,20.4,7.8,6,0.7,0.4,37487,45511,34.1,"(X)","(X)",32,32.7,34.2,1.1,3034.56,3100.941,3243.186,104.313
"57","0500000US05113",5113,"Polk County, Arkansas",8058,9.1,8.5,18.1,15.9,17.7,15.1,6.5,6.1,1.9,1.1,33870,45664,35.9,"(X)","(X)",35.7,33.6,27.7,3,2876.706,2707.488,2232.066,241.74
"58","0500000US05115",5115,"Pope County, Arkansas",23147,8.5,8.8,12.7,13.7,15,18.1,9.1,8.3,3.1,2.6,40668,56369,30.5,"(X)","(X)",30,28.7,35.5,5.7,6944.1,6643.189,8217.185,1319.379
"59","0500000US05117",5117,"Prairie County, Arkansas",3920,10.8,6.4,15.1,11.7,19,17.1,8.9,8.9,1.4,0.8,41244,49114,46.4,"(X)","(X)",32.3,30.7,34.9,2.2,1266.16,1203.44,1368.08,86.24
"60","0500000US05119",5119,"Pulaski County, Arkansas",155435,8.5,5.3,11.7,11.1,14.4,17.7,10.5,11.5,4.5,4.9,48850,71902,32.3,"(X)","(X)",25.5,25.5,39.7,9.4,39635.925,39635.925,61707.695,14610.89
"61","0500000US05121",5121,"Randolph County, Arkansas",7339,10.7,10.6,13.7,13.6,17.5,16.5,6.1,9.1,1.4,0.8,35930,49821,30.6,"(X)","(X)",35,31.1,31.7,2.2,2568.65,2282.429,2326.463,161.458
"62","0500000US05123",5123,"St. Francis County, Arkansas",9325,14.8,10.4,15.1,12.3,15.1,17.7,7,4.7,1.5,1.4,33102,43681,49,"(X)","(X)",40.3,27.4,29.4,2.9,3757.975,2555.05,2741.55,270.425
"63","0500000US05125",5125,"Saline County, Arkansas",43314,3.3,3.8,8.5,10.8,15.1,20.6,14.1,15.7,4.8,3.3,58985,73050,32.9,"(X)","(X)",15.6,25.9,50.4,8.1,6756.984,11218.326,21830.256,3508.434
"64","0500000US05127",5127,"Scott County, Arkansas",3972,12.2,10,14,11.5,20.5,16.4,7.5,4.9,2,1.1,37396,44938,44.8,"(X)","(X)",36.2,32,28.8,3.1,1437.864,1271.04,1143.936,123.132
"65","0500000US05129",5129,"Searcy County, Arkansas",3336,12.5,8,15.4,11.7,19.2,16.4,9.4,3.7,1.9,1.9,36716,47884,38.4,"(X)","(X)",35.9,30.9,29.5,3.8,1197.624,1030.824,984.12,126.768
"66","0500000US05131",5131,"Sebastian County, Arkansas",50301,9,7.2,14.7,13.1,13.9,18.1,10.3,9.5,1.7,2.6,40932,58991,33.8,"(X)","(X)",30.9,27,37.9,4.3,15543.009,13581.27,19064.079,2162.943
"67","0500000US05133",5133,"Sevier County, Arkansas",5984,8.8,7,14.4,10.5,15.9,22.9,11,7,2.1,0.5,43675,50684,37.8,"(X)","(X)",30.2,26.4,40.9,2.6,1807.168,1579.776,2447.456,155.584
"68","0500000US05135",5135,"Sharp County, Arkansas",7296,10.5,8.5,20,15.3,15,16.5,8.6,3.7,0.8,1.1,31792,47891,30.3,"(X)","(X)",39,30.3,28.8,1.9,2845.44,2210.688,2101.248,138.624
"69","0500000US05137",5137,"Stone County, Arkansas",4910,7.5,13.8,17,13.3,15.7,14.7,7,8.3,1.5,1.1,33091,48029,30.2,"(X)","(X)",38.3,29,30,2.6,1880.53,1423.9,1473,127.66
"70","0500000US05139",5139,"Union County, Arkansas",16189,11.7,7.5,13.1,11.6,13.1,18,11.2,9.7,1.5,2.6,41106,56546,37.2,"(X)","(X)",32.3,24.7,38.9,4.1,5229.047,3998.683,6297.521,663.749
"71","0500000US05141",5141,"Van Buren County, Arkansas",6867,9.8,9.3,16,15.8,16,13.2,9.9,7.6,1.5,0.9,34428,47256,24.1,"(X)","(X)",35.1,31.8,30.7,2.4,2410.317,2183.706,2108.169,164.808
"72","0500000US05143",5143,"Washington County, Arkansas",84460,8.6,5,11.5,12.1,15.5,18.4,9.8,10.6,4.4,4.2,47452,68715,22,"(X)","(X)",25.1,27.6,38.8,8.6,21199.46,23310.96,32770.48,7263.56
"73","0500000US05145",5145,"White County, Arkansas",29217,8.7,6.6,12.9,12.1,14.6,18.1,11.3,10.4,2.5,2.8,44074,60710,29.1,"(X)","(X)",28.2,26.7,39.8,5.3,8239.194,7800.939,11628.366,1548.501
"74","0500000US05147",5147,"Woodruff County, Arkansas",2874,16.2,11.6,18.1,10.2,12.1,12.3,11,5.1,1.9,1.4,30097,44242,43.2,"(X)","(X)",45.9,22.3,28.4,3.3,1319.166,640.902,816.216,94.842
"75","0500000US05149",5149,"Yell County, Arkansas",7555,8.9,4.9,15.2,14.2,16.7,15.3,12.1,9,2.3,1.3,39696,54048,57.1,"(X)","(X)",29,30.9,36.4,3.6,2190.95,2334.495,2750.02,271.98
